,calculator,algo,ediffg,encut,gamma,gga,ibrion,ismear,ispin,istart,kpts,lorbit,lreal,npar,nsim,nsw,potim,pp,prec,reciprocal,sigma,txt,xc,cell,constraints,ctime,CO-ontop,dipole,energy,forces,lattice,system,mtime,numbers,pbc,positions,tags,unique_id,user
0,vasp,VeryFast,-0.05,400.0,False,91,2,1,1,0,"[3, 3, 1]",10,True,12,12,100,0.1,pw91,normal,False,0.2,-,pw91,"[[3.590324361848534, 0.0, 0.0], [0.0, 3.590324361848534, 0.0], [0.0, 0.0, 27.56613526646987]]","[{u'name': u'FixAtoms', u'kwargs': {u'indices': [0, 1, 2, 3, 4, 5, 6, 7]}}]",17.7038172979,-0.78145671,"[[0.0, 0.0, 0.0]]",-71.94434445,"[[0.0, 0.0, -0.092735], [0.0, -0.0, -0.096288], [0.0, 0.0, -0.065238], [0.0, 0.0, -0.065238], [0.0, 0.0, -0.032113], [0.0, -0.0, 0.005573], [-0.0, 0.0, 0.257156], [0.0, 0.0, 0.257156], [0.0, 0.0, -0.010091], [0.0, 0.0, 2.6e-05], [0.0, 0.0, -0.003777], [0.0, -0.0, -0.003777], [0.0, 0.0, -0.032022], [0.0, 0.0, -0.037582], [0.0, 0.0, -0.036855], [-0.0, 0.0, -0.036855], [0.0, 0.0, 0.000248], [0.0, 0.0, -0.007587]]",fcc,Cu_100,17.7038172979,"[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 6, 8]","[True, True, False]","[[0.0, 0.0, 7.499999999999997], [1.795162180924267, 1.795162180924267, 7.499999999999997], [0.0, 1.795162180924267, 9.295162180924267], [1.795162180924267, 0.0, 9.295162180924267], [0.0, 0.0, 11.090324361848534], [1.795162180924267, 1.795162180924267, 11.090324361848534], [0.0, 1.795162180924267, 12.885486542772803], [1.795162180924267, 0.0, 12.885486542772803], [0.0, 0.0, 14.747042929656608], [1.795162180924267, 1.795162180924267, 14.758968809033544], [0.0, 1.795162180924267, 16.618650913504194], [1.795162180924267, 0.0, 16.618650913504194], [0.0, 0.0, 18.464814244145305], [1.795162180924267, 1.795162180924267, 18.539798827109234], [0.0, 1.795162180924267, 20.417616362987577], [1.795162180924267, 0.0, 20.417616362987577], [0.0, 0.0, 21.58940323275729], [0.0, 0.0, 22.783101017654936]]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",36d1eada38880974334734b2afbf0f9b,a_ishi
0,vasp,VeryFast,-0.05,400.0,False,91,2,1,1,0,"[3, 3, 1]",10,True,12,12,100,0.1,pw91,normal,False,0.2,-,pw91,"[[4.040817745793421, 0.0, 0.0], [0.0, 4.040817745793421, 0.0], [0.0, 0.0, 29.142862110276972]]","[{u'name': u'FixAtoms', u'kwargs': {u'indices': [0, 1, 2, 3, 4, 5, 6, 7]}}]",17.7038179579,-0.05734462,"[[0.0, 0.0, 0.0]]",-55.50341148,"[[-0.0, -0.0, -0.44159], [-0.0, 0.0, -0.461298], [-0.0, -0.0, -0.032451], [-0.0, 0.0, -0.032451], [-0.0, -0.0, -0.041994], [-0.0, 0.0, 0.009941], [0.0, 0.0, 0.472027], [-0.0, -0.0, 0.472027], [-0.0, -0.0, -0.042666], [-0.0, -0.0, 0.025286], [-0.0, 0.0, 0.000155], [-0.0, -0.0, 0.000155], [-0.0, -0.0, -0.013813], [-0.0, -0.0, 0.03892], [-0.0, 0.0, 0.000493], [-0.0, -0.0, 0.000493], [-0.0, 0.0, 0.045529], [-0.0, 0.0, 0.001238]]",fcc,Ag_100,17.7038179579,"[47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 6, 8]","[True, True, False]","[[0.0, 0.0, 7.5000000000000835], [2.0204088728967107, 2.0204088728967107, 7.5000000000000835], [0.0, 2.0204088728967107, 9.520408872896741], [2.0204088728967107, 0.0, 9.520408872896741], [0.0, 0.0, 11.5408177457934], [2.0204088728967107, 2.0204088728967107, 11.5408177457934], [0.0, 2.0204088728967107, 13.561226618690055], [2.0204088728967107, 0.0, 13.561226618690055], [0.0, 0.0, 15.70409597121503], [2.0204088728967107, 2.0204088728967107, 15.740017512883526], [0.0, 2.0204088728967107, 17.89954885646806], [2.0204088728967107, 0.0, 17.89954885646806], [0.0, 0.0, 20.036948170814824], [2.0204088728967107, 2.0204088728967107, 20.12994551875696], [0.0, 2.0204088728967107, 22.281090667206836], [2.0204088728967107, 0.0, 22.281090667206836], [0.0, 0.0, 23.707529926781078], [0.0, 0.0, 24.882195591852124]]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",74af8cc983067d88409c2f1b328a546e,a_ishi
0,vasp,VeryFast,-0.05,400.0,False,91,2,1,1,0,"[3, 3, 1]",10,True,12,12,100,0.1,pw91,normal,False,0.2,-,pw91,"[[4.069193250721463, 0.0, 0.0], [0.0, 4.069193250721463, 0.0], [0.0, 0.0, 29.242176377525123]]","[{u'name': u'FixAtoms', u'kwargs': {u'indices': [0, 1, 2, 3, 4, 5, 6, 7]}}]",17.7038194463,-0.08886484,"[[0.0, 0.0, 0.0]]",-63.26719721,"[[-0.0, -0.0, -0.649366], [-0.0, 0.0, -0.670465], [-0.0, 0.0, -0.086367], [-0.0, -0.0, -0.086367], [-0.0, -0.0, 0.011985], [-0.0, -0.0, 0.056936], [-0.0, -0.0, 0.708667], [-0.0, 0.0, 0.708667], [0.0, -0.0, 0.012851], [-0.0, -0.0, 0.007501], [-0.0, 0.0, -0.007075], [-0.0, -0.0, -0.007075], [-0.0, 0.0, 0.027268], [-0.0, 0.0, -0.004908], [-0.0, 0.0, -0.022872], [-0.0, 0.0, -0.022872], [-0.0, -0.0, 0.020561], [-0.0, 0.0, 0.002932]]",fcc,Au_100,17.7038194463,"[79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 6, 8]","[True, True, False]","[[0.0, 0.0, 7.500000000000001], [2.0345966253607317, 2.0345966253607317, 7.500000000000001], [0.0, 2.0345966253607317, 9.534596625360763], [2.0345966253607317, 0.0, 9.534596625360763], [0.0, 0.0, 11.569193250721524], [2.0345966253607317, 2.0345966253607317, 11.569193250721524], [0.0, 2.0345966253607317, 13.603789876082285], [2.0345966253607317, 0.0, 13.603789876082285], [0.0, 0.0, 15.787533078277605], [2.0345966253607317, 2.0345966253607317, 15.850096005082012], [0.0, 2.0345966253607317, 18.04095017279966], [2.0345966253607317, 0.0, 18.04095017279966], [0.0, 0.0, 20.204234230520765], [2.0345966253607317, 2.0345966253607317, 20.324844026761273], [0.0, 2.0345966253607317, 22.573722274240122], [2.0345966253607317, 0.0, 22.573722274240122], [0.0, 0.0, 23.900771203341687], [0.0, 0.0, 25.079293246084394]]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",62c98ed39944a2ba3d7d32802713003f,a_ishi
0,vasp,VeryFast,-0.05,400.0,False,91,2,1,1,0,"[3, 3, 1]",10,True,12,12,100,0.1,pw91,normal,False,0.2,-,pw91,"[[3.838950605489774, 0.0, 0.0], [0.0, 3.838950605489774, 0.0], [0.0, 0.0, 28.436327119214212]]","[{u'name': u'FixAtoms', u'kwargs': {u'indices': [0, 1, 2, 3, 4, 5, 6, 7]}}]",17.70381945,-1.6906026,"[[0.0, 0.0, 0.0]]",-151.56098809,"[[0.0, -0.0, 0.762239], [-0.0, -0.0, 0.698024], [0.0, -0.0, -1.009542], [0.0, -0.0, -1.009542], [0.0, 0.0, -0.073495], [0.0, -0.0, -0.158041], [0.0, 0.0, 0.465698], [0.0, -0.0, 0.465698], [0.0, 0.0, 0.002099], [0.0, -0.0, -0.011719], [0.0, -0.0, -0.029304], [0.0, -0.0, -0.029304], [0.0, -0.0, -0.016146], [0.0, -0.0, -0.018067], [0.0, 0.0, 0.001392], [0.0, 0.0, 0.001392], [0.0, -0.0, 0.004766], [0.0, -0.0, -0.046147]]",fcc,Ir_100,17.70381945,"[77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 6, 8]","[True, True, False]","[[0.0, 0.0, 7.500000000000091], [1.919475302744887, 1.919475302744887, 7.500000000000091], [0.0, 1.919475302744887, 9.41947530274495], [1.919475302744887, 0.0, 9.41947530274495], [0.0, 0.0, 11.338950605489813], [1.919475302744887, 1.919475302744887, 11.338950605489813], [0.0, 1.919475302744887, 13.258425908234676], [1.919475302744887, 0.0, 13.258425908234676], [0.0, 0.0, 15.228939712273535], [1.919475302744887, 1.919475302744887, 15.197715759559879], [0.0, 1.919475302744887, 17.168215758379105], [1.919475302744887, 0.0, 17.168215758379105], [0.0, 0.0, 19.08759583948656], [1.919475302744887, 1.919475302744887, 19.114999187695673], [0.0, 1.919475302744887, 21.018924991081832], [1.919475302744887, 0.0, 21.018924991081832], [0.0, 0.0, 22.32707932648579], [0.0, 0.0, 23.523787822417532]]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",d7f3e4134796d9b7502d024adb4bc7de,a_ishi
0,vasp,VeryFast,-0.05,400.0,False,91,2,1,1,0,"[3, 3, 1]",10,True,12,12,100,0.1,pw91,normal,False,0.2,-,pw91,"[[3.79631626726475, 0.0, 0.0], [0.0, 3.79631626726475, 0.0], [0.0, 0.0, 28.287106935426625]]","[{u'name': u'FixAtoms', u'kwargs': {u'indices': [0, 1, 2, 3, 4, 5, 6, 7]}}]",17.7038224908,-1.75914316,"[[0.0, 0.0, 0.0]]",-127.53812925,"[[-0.0, 0.0, 0.158955], [-0.0, -0.0, 0.250821], [0.0, -0.0, -0.523527], [-0.0, -0.0, -0.523527], [-0.0, 0.0, 0.011525], [-0.0, -0.0, 0.118578], [-0.0, 0.0, 0.328671], [-0.0, 0.0, 0.328671], [-0.0, 0.0, -0.026592], [-0.0, 0.0, -0.004178], [-0.0, 0.0, 0.020042], [-0.0, 0.0, 0.020042], [-0.0, -0.0, -0.047414], [-0.0, 0.0, -0.020969], [-0.0, -0.0, -0.01113], [0.0, -0.0, -0.01113], [-0.0, -0.0, -0.030042], [-0.0, 0.0, -0.038798]]",fcc,Rh_100,17.7038224908,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 6, 8]","[True, True, False]","[[0.0, 0.0, 7.499999999999951], [1.898158133632375, 1.898158133632375, 7.499999999999951], [0.0, 1.898158133632375, 9.398158133632368], [1.898158133632375, 0.0, 9.398158133632368], [0.0, 0.0, 11.296316267264785], [1.898158133632375, 1.898158133632375, 11.296316267264785], [0.0, 1.898158133632375, 13.194474400897207], [1.898158133632375, 0.0, 13.194474400897207], [0.0, 0.0, 15.155322023605148], [1.898158133632375, 1.898158133632375, 15.135902205945088], [0.0, 1.898158133632375, 17.087274516741566], [1.898158133632375, 0.0, 17.087274516741566], [0.0, 0.0, 18.970576180264995], [1.898158133632375, 1.898158133632375, 19.018100709090174], [0.0, 1.898158133632375, 20.955495527504823], [1.898158133632375, 0.0, 20.955495527504823], [0.0, 0.0, 22.16188192831912], [0.0, 0.0, 23.35855995686433]]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",b18732f7b647c8797e1026f30c67ff9b,a_ishi
0,vasp,VeryFast,-0.05,400.0,False,91,2,1,1,0,"[3, 3, 1]",10,True,12,12,100,0.1,pw91,normal,False,0.2,-,pw91,"[[3.8690684579081616, 0.0, 0.0], [0.0, 3.8690684579081616, 0.0], [0.0, 0.0, 28.54173960267856]]","[{u'name': u'FixAtoms', u'kwargs': {u'indices': [0, 1, 2, 3, 4, 5, 6, 7]}}]",17.7038240694,-1.6964977,"[[0.0, 0.0, 0.0]]",-96.99239105,"[[0.0, -0.0, -0.498418], [0.0, 0.0, -0.476465], [0.0, 0.0, -0.138903], [0.0, 0.0, -0.138903], [0.0, 0.0, 0.063531], [0.0, -0.0, -0.001463], [0.0, 0.0, 0.591818], [0.0, 0.0, 0.591818], [0.0, 0.0, 0.032367], [-0.0, -0.0, -0.001792], [0.0, -0.0, -0.041202], [0.0, 0.0, -0.041202], [0.0, 0.0, 0.042409], [0.0, -0.0, -0.017559], [0.0, 0.0, -0.027259], [0.0, 0.0, -0.027259], [0.0, 0.0, 0.039558], [0.0, -0.0, 0.048926]]",fcc,Pd_100,17.7038240694,"[46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 6, 8]","[True, True, False]","[[0.0, 0.0, 7.49999999999996], [1.9345342289540808, 1.9345342289540808, 7.49999999999996], [0.0, 1.9345342289540808, 9.434534228954139], [1.9345342289540808, 0.0, 9.434534228954139], [0.0, 0.0, 11.369068457908114], [1.9345342289540808, 1.9345342289540808, 11.369068457908114], [0.0, 1.9345342289540808, 13.303602686862295], [1.9345342289540808, 0.0, 13.303602686862295], [0.0, 0.0, 15.338118104072274], [1.9345342289540808, 1.9345342289540808, 15.354728436947202], [0.0, 1.9345342289540808, 17.401606601123127], [1.9345342289540808, 0.0, 17.401606601123127], [0.0, 0.0, 19.457813679415437], [1.9345342289540808, 1.9345342289540808, 19.43787286269418], [0.0, 1.9345342289540808, 21.560080362333135], [1.9345342289540808, 0.0, 21.56008036233314], [0.0, 0.0, 22.659743956191253], [0.0, 0.0, 23.85215949674031]]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",17d02eef3865c4760a1b341d95e0390e,a_ishi
0,vasp,VeryFast,-0.05,400.0,False,91,2,1,1,0,"[3, 3, 1]",10,True,12,12,100,0.1,pw91,normal,False,0.2,-,pw91,"[[3.91316691121649, 0.0, 0.0], [0.0, 3.91316691121649, 0.0], [0.0, 0.0, 28.696084189257718]]","[{u'name': u'FixAtoms', u'kwargs': {u'indices': [0, 1, 2, 3, 4, 5, 6, 7]}}]",17.7038246949,-1.45046435,"[[0.0, 0.0, 0.0]]",-109.98777422,"[[-0.0, 0.0, -0.336376], [-0.0, -0.0, -0.360111], [-0.0, -0.0, -0.250118], [-0.0, -0.0, -0.250118], [-0.0, -0.0, -0.149243], [-0.0, -0.0, -0.140891], [-0.0, 0.0, 0.794242], [-0.0, -0.0, 0.794242], [-0.0, -0.0, 0.018064], [0.0, -0.0, 0.003778], [-0.0, -0.0, 0.004295], [-0.0, -0.0, 0.004295], [-0.0, -0.0, -0.018871], [-0.0, 0.0, -0.011985], [-0.0, 0.0, -0.045344], [-0.0, -0.0, -0.045344], [-0.0, -0.0, -0.010963], [-0.0, -0.0, 0.000446]]",fcc,Pt_100,17.7038246949,"[78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 6, 8]","[True, True, False]","[[0.0, 0.0, 7.499999999999916], [1.956583455608245, 1.956583455608245, 7.499999999999916], [0.0, 1.956583455608245, 9.456583455608156], [1.956583455608245, 0.0, 9.456583455608156], [0.0, 0.0, 11.413166911216399], [1.956583455608245, 1.956583455608245, 11.413166911216399], [0.0, 1.956583455608245, 13.369750366824636], [1.956583455608245, 0.0, 13.369750366824636], [0.0, 0.0, 15.405665347253512], [1.956583455608245, 1.956583455608245, 15.428360564937115], [0.0, 1.956583455608245, 17.4828165857047], [1.956583455608245, 0.0, 17.4828165857047], [0.0, 0.0, 19.56837296908521], [1.956583455608245, 1.956583455608245, 19.521525811897657], [0.0, 1.956583455608245, 21.649620868372036], [1.956583455608245, 0.0, 21.649620868372036], [0.0, 0.0, 22.835574506684065], [0.0, 0.0, 24.03059826703104]]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9704fba15ddd2f559fb7fec262cbe79d,a_ishi
0,vasp,VeryFast,-0.05,400.0,False,91,2,1,1,0,"[3, 3, 1]",10,True,12,12,100,0.1,pw91,normal,False,0.2,-,pw91,"[[5.0774854092160915, 0.0, 0.0], [-2.5387427046080453, 4.397231351725962, 0.0], [0.0, 0.0, 21.21862421450303]]","[{u'name': u'FixAtoms', u'kwargs': {u'indices': [0, 1, 2, 3, 4, 5, 6, 7]}}]",17.7060264934,-0.83108561,"[[0.0, 0.0, 0.0]]",-70.96229403,"[[-0.01764, 0.010185, -0.185446], [-0.0, -0.020369, -0.185446], [-0.0, -0.0, -0.154489], [0.01764, 0.010185, -0.185446], [-0.0, -0.0, 0.229704], [0.00477, 0.002754, 0.0815], [-0.00477, 0.002754, 0.0815], [-0.0, -0.005508, 0.0815], [0.000752, -0.000434, 0.033252], [-0.0, 0.000869, 0.033252], [-0.0, -0.0, 0.021866], [-0.000752, -0.000434, 0.033252], [-0.003997, 0.002308, 0.021925], [-0.0, -0.004615, 0.021925], [-0.0, -0.0, 0.003078], [0.003997, 0.002308, 0.021925], [-0.0, -0.0, 0.007406], [-0.0, -0.0, 0.038742]]",fcc,Cu_111,17.7060264934,"[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 6, 8]","[True, True, False]","[[1.269371352304023, 2.198615675862981, 7.499999999999996], [2.5387427046080457, 0.0, 7.499999999999996], [0.0, 0.0, 7.499999999999996], [-1.2693713523040226, 2.198615675862981, 7.499999999999996], [2.5387427046080275, 1.4657437839086644, 9.572874738167677], [1.269371352304005, 3.6643594597716453, 9.572874738167677], [-1.2693713523040406, 3.6643594597716453, 9.572874738167677], [-1.789233698589983e-14, 1.4657437839086644, 9.572874738167677], [3.8258461683658793, 0.7226342526331688, 11.631724281965633], [2.538742704608065, 2.951962846459591, 11.631724281965633], [1.8225403893287377e-14, 2.9314875678172974, 11.614029801078951], [1.2516392408502484, 0.7226342526331688, 11.631724281965633], [1.2681820832926978, 2.1993023006468073, 13.672672618791779], [2.538742704608045, -0.0013732495676547019, 13.672672618791779], [0.0, 0.0, 13.843432850763014], [-1.268182083292697, 2.1993023006468073, 13.672672618791779], [0.0, 0.0, 15.689162148699447], [0.0, 0.0, 16.84516342313427]]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",f5c6facda6e44803317d5b7439238b29,a_ishi
0,vasp,VeryFast,-0.05,400.0,False,91,2,1,1,0,"[3, 3, 1]",10,True,12,12,100,0.1,pw91,normal,False,0.2,-,pw91,"[[5.3688019522234125, 0.0, 0.0], [-2.6844009761117062, 4.649518878512963, 0.0], [0.0, 0.0, 21.575412656502778]]","[{u'name': u'FixAtoms', u'kwargs': {u'indices': [0, 1, 2, 3, 4, 5, 6, 7]}}]",17.7060272128,-1.88950334,"[[0.0, 0.0, 0.0]]",-125.1433059,"[[-0.0, 0.0, -0.143554], [-0.022058, -0.012735, -0.024471], [0.022058, -0.012735, -0.024471], [-0.0, 0.025471, -0.024471], [-0.0, 0.0, -0.322697], [0.067672, 0.03907, 0.160184], [-0.067672, 0.03907, 0.160184], [-0.0, -0.078141, 0.160184], [-0.0, 0.0, -0.009481], [0.009054, 0.005227, -0.012762], [-0.009054, 0.005227, -0.012762], [0.0, -0.010454, -0.012762], [0.0, 0.0, 0.024605], [-0.020952, -0.012097, 0.003261], [0.020952, -0.012097, 0.003261], [-0.0, 0.024193, 0.003261], [0.0, 0.0, 0.039339], [-0.0, 0.0, 0.033153]]",fcc,Rh_111,17.7060272128,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 6, 8]","[True, True, False]","[[0.0, 0.0, 7.50000000000001], [-1.3422004880558531, 2.3247594392564817, 7.50000000000001], [1.3422004880558531, 2.3247594392564817, 7.50000000000001], [2.6844009761117062, 0.0, 7.50000000000001], [2.684400976111687, 1.5498396261709988, 9.69180421883421], [1.3422004880558338, 3.8745990654274802, 9.69180421883421], [-1.3422004880558722, 3.8745990654274802, 9.69180421883421], [-1.9125503494667617e-14, 1.5498396261709988, 9.69180421883421], [1.90144811922051e-14, 3.0996792523419647, 11.854242786432943], [1.3372628932431447, 0.7720690913912057, 11.885452384500022], [4.031539058980307, 0.7720690913912057, 11.885452384500022], [2.6844009761117262, 3.105380695730519, 11.885452384500022], [0.0, 0.0, 14.278832673739661], [-1.3303835750026523, 2.3315819371887354, 14.058317910845567], [1.330383575002653, 2.3315819371887354, 14.058317910845567], [2.684400976111705, -0.013644995864510717, 14.058317910845567], [0.0, 0.0, 16.119977192620336], [0.0, 0.0, 17.282844663710275]]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",f0656542b6b44c7bd04c3710f600f902,a_ishi
0,vasp,VeryFast,-0.05,400.0,False,91,2,1,1,0,"[3, 3, 1]",10,True,12,12,100,0.1,pw91,normal,False,0.2,-,pw91,"[[5.429096011564043, 0.0, 0.0], [-2.7145480057820217, 4.701735065599236, 0.0], [0.0, 0.0, 21.649257496455593]]","[{u'name': u'FixAtoms', u'kwargs': {u'indices': [0, 1, 2, 3, 4, 5, 6, 7]}}]",17.7060275409,-1.87854565,"[[0.0, 0.0, 0.0]]",-149.55552306,"[[-0.0, -0.0, 0.077069], [0.077642, 0.044827, -0.053992], [-0.077642, 0.044827, -0.053992], [-0.0, -0.089653, -0.053992], [-0.0, -0.0, -0.528223], [0.01976, 0.011408, 0.192464], [-0.01976, 0.011408, 0.192464], [0.0, -0.022817, 0.192464], [-0.0, -0.0, -0.005967], [0.010615, -0.006129, -0.003006], [0.0, 0.012257, -0.003006], [-0.010615, -0.006129, -0.003006], [-0.0, -0.0, 0.020704], [0.011413, 0.006589, -0.005917], [-0.011413, 0.006589, -0.005917], [-0.0, -0.013179, -0.005917], [0.0, 0.0, 0.021122], [0.0, -0.0, 0.026651]]",fcc,Ir_111,17.7060275409,"[77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 6, 8]","[True, True, False]","[[0.0, 0.0, 7.5000000000000115], [-1.3572740028910109, 2.350867532799618, 7.5000000000000115], [1.3572740028910109, 2.350867532799618, 7.5000000000000115], [2.7145480057820217, 0.0, 7.5000000000000115], [2.7145480057820026, 1.567245021866423, 9.716419165485151], [1.3572740028909915, 3.918112554666041, 9.716419165485151], [-1.3572740028910302, 3.918112554666041, 9.716419165485151], [-1.930792830692009e-14, 1.567245021866423, 9.716419165485151], [1.930792830692009e-14, 3.1344900437328125, 11.923348440309741], [4.082131918815561, 0.7776700815370952, 11.942566980744916], [2.714548005782039, 3.1463949025250115, 11.942566980744916], [1.3469640927485191, 0.7776700815370952, 11.942566980744916], [0.0, 0.0, 14.383220618321287], [-1.3452515932979054, 2.3578086742145055, 14.133997526210171], [1.3452515932979041, 2.3578086742145055, 14.133997526210171], [2.7145480057820204, -0.013882282829774807, 14.133997526210171], [0.0, 0.0, 16.23237023950873], [0.0, 0.0, 17.395158906224015]]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",be7fca885384bf4e354bba2aa16f1347,a_ishi
